abordado	abordabais
accedido	accedíais
acelerado	acelerabais
acordado	acordabais
aparecido	aparecíais
aplicado	aplicabais
aprobado	aprobabais
aprovechado	aprovechabais
atraído	atraíais
avanzado	avanzabais
bailado	bailabais
causado	causabais
comenzado	comenzabais
compartido	compartíais
confiado	confiabais
contenido	conteníais
cooperado	cooperabais
cumplido	cumplíais
dado	dabais
decidido	decidíais
desarrollado	desarrollabais
descubierto	descubríais
designado	designabais
enviado	enviabais
estudiado	estudiabais
existido	existíais
explorado	explorabais
formulado	formulabais
ganado	ganabais
informado	informabais
iniciado	iniciabais
jugado	jugabais
luchado	luchabais
modificado	modificabais
mostrado	mostrabais
movido	movíais
pagado,pago	pagabais
permitido	permitíais
podido	podíais
promovido	promovíais
protegido	protegíais
reemplazado	reemplazabais
referido	referíais
revisado	revisabais
satisfecho	satisfacíais
seleccionado	seleccionabais
sido	erais
sobrevivido	sobrevivíais
soportado	soportabais
vuelto	volvíais
