abandonamos	abandonará
aprobamos	aprobará
aprovechamos	aprovechará
atendemos	atenderá
buscamos	buscará
celebramos	celebrará
cerramos	cerrará
comemos	comerá
comprendemos	comprenderá
confiamos	confiará
consistimos	consistirá
continuamos	continuará
convertimos	convertirá
creemos	creerá
destacamos	destacará
dormimos	dormirá
ejecutamos	ejecutará
eliminamos	eliminará
examinamos	examinará
explicamos	explicará
firmamos	firmará
gestionamos	gestionará
hemos	habrá
habilitamos	habilitará
impedimos	impedirá
implicamos	implicará
iniciamos	iniciará
intentamos	intentará
leemos	leerá
llegamos	llegará
localizamos	localizará
mantenemos	mantendrá
modificamos	modificará
ocurrimos	ocurrirá
pensamos	pensará
permanecemos	permanecerá
preservamos	preservará
promocionamos	promocionará
proporcionamos	proporcionará
quedamos	quedará
referimos	referirá
revisamos	revisará
rompemos	romperá
salimos	saldrá
salvamos	salvará
solicitamos	solicitará
tenemos	tendrá
tratamos	tratará
vemos	verá
vivimos	vivirá
