accedemos	accedían
aceptamos	aceptaban
ampliamos	ampliaban
aplicamos	aplicaban
aseguramos	aseguraban
aumentamos	aumentaban
casamos	casaban
concluimos	concluían
confiamos	confiaban
consultamos	consultaban
continuamos	continuaban
convertimos	convertían
creamos	creaban
cubrimos	cubrían
cuidamos	cuidaban
cumplimos	cumplían
dejamos	dejaban
demostramos	demostraban
empezamos	empezaban
enseñamos	enseñaban
escapamos	escapaban
establecemos	establecían
evadimos	evadían
expresamos	expresaban
identificamos	identificaban
indicamos	indicaban
instalamos	instalaban
invertimos	invertían
jugamos	jugaban
localizamos	localizaban
luchamos	luchaban
manejamos	manejaban
morimos	morían
oímos	oían
pedimos	pedían
permitimos	permitían
ponemos	ponían
preguntamos	preguntaban
proveemos	proveían
recogemos	recogían
resolvemos	resolvían
rompemos	rompían
sentamos	sentaban
sentimos	sentían
solicitamos	solicitaban
soportamos	soportaban
superamos	superaban
vendemos	vendían
vemos	veían
viajamos	viajaban
