aceleran	acelerarán
adoptan	adoptarán
animan	animarán
aparecen	aparecerán
aprovechan	aprovecharán
aseguran	asegurarán
atraen	atraerán
avanzan	avanzarán
añaden	añadirán
cantan	cantarán
comen	comerán
comparten	compartirán
completan	completarán
consisten	consistirán
crean	crearán
creen	creerán
designan	designarán
destruyen	destruirán
determinan	determinarán
eligen	elegirán
eliminan	eliminarán
encuentran	encontrarán
están	estarán
evaden	evadirán
fomentan	fomentarán
formulan	formularán
hablan	hablarán
implican	implicarán
intentan	intentarán
introducen	introducirán
llaman	llamarán
manejan	manejarán
mejoran	mejorarán
mencionan	mencionarán
necesitan	necesitarán
ocurren	ocurrirán
operan	operarán
parten	partirán
preservan	preservarán
proporcionan	proporcionarán
protegen	protegerán
reemplazan	reemplazarán
refieren	referirán
representan	representarán
supervisan	supervisarán
terminan	terminarán
tocan	tocarán
traen	traerán
verifican	verificarán
vuelan	volarán
