abordas/abordás	aborda
accedes/accedés	accede
adoptas/adoptás	adopta
alientas/alentás	alienta
amplías/ampliás	amplía
anuncias/anunciás	anuncia
atiendes/atendés	atiende
caes/caés	cae
causas/causás	causa
comienzas/comenzás	comienza
comes/comés	come
compartes/compartís	comparte
consigues/conseguís	consigue
consistes/consistís	consiste
construyes/construís	construye
contienes/contenés	contiene
contribuyes/contribuís	contribuye
cubres/cubrís	cubre
dices/decís	dice
defiendes/defendés	defiende
disfrutas/disfrutás	disfruta
ejecutas/ejecutás	ejecuta
enfrentas/enfrentás	enfrenta
escapas/escapás	escapa
esperas/esperás	espera
evades/evadís	evade
evalúas/evaluás	evalúa
explicas/explicás	explica
fomentas/fomentás	fomenta
formulas/formulás	formula
funcionas/funcionás	funciona
has	ha(impersonal:hay)
introduces/introducís	introduce
localizas/localizás	localiza
manejas/manejás	maneja
mencionas/mencionás	menciona
mueres/morís	muere
obtienes/obtenés	obtiene
ofreces/ofrecés	ofrece
paras/parás	para
pierdes/perdés	pierde
preservas/preservás	preserva
pruebas/probás	prueba
provees/proveés	provee
requieres/requerís	requiere
respondes/respondés	responde
rompes/rompés	rompe
tomas/tomás	toma
ves	ve
viajas/viajás	viaja
