abordas/abordás	abordó
aceptas/aceptás	aceptó
aseguras/asegurás	aseguró
asistes/asistís	asistió
atraes/atraés	atrajo
ayudas/ayudás	ayudó
causas/causás	causó
confías/confiás	confió
consigues/conseguís	consiguió
conservas/conservás	conservó
consistes/consistís	consistió
consolidas/consolidás	consolidó
continúas/continuás	continuó
coordinas/coordinás	coordinó
cubres/cubrís	cubrió
decides/decidís	decidió
dejas/dejás	dejó
desempeñas/desempeñás	desempeñó
detienes/detenés	detuvo
eliges/elegís	eligió
estudias/estudiás	estudió
evitas/evitás	evitó
expresas/expresás	expresó
formulas/formulás	formuló
garantizas/garantizás	garantizó
haces/hacés	hizo
identificas/identificás	identificó
instalas/instalás	instaló
llamas/llamás	llamó
luchas/luchás	luchó
manejas/manejás	manejó
olvidas/olvidás	olvidó
operas/operás	operó
pasas/pasás	pasó
preparas/preparás	preparó
preservas/preservás	preservó
realizas/realizás	realizó
reconoces/reconocés	reconoció
recuperas/recuperás	recuperó
refuerzas/reforzás	reforzó
regresas/regresás	regresó
requieres/requerís	requirió
respondes/respondés	respondió
salvas/salvás	salvó
sigues/seguís	siguió
solicitas/solicitás	solicitó
sufres/sufrís	sufrió
usas/usás	usó
vendes/vendés	vendió
votas/votás	votó
