abandona	abandonará
actúa	actuará
asegura	asegurará
asume	asumirá
atrae	atraerá
camina	caminará
canta	cantará
construye	construirá
coopera	cooperará
da	dará
decide	decidirá
defiende	defenderá
designa	designará
estudia	estudiará
existe	existirá
explora	explorará
falla	fallará
funciona	funcionará
genera	generará
hace	hará
identifica	identificará
impone	impondrá
indica	indicará
llama	llamará
lucha	luchará
muere	morirá
muestra	mostrará
ocurre	ocurrirá
parece	parecerá
piensa	pensará
pone	pondrá
previene	prevendrá
queda	quedará
reconoce	reconocerá
recuerda	recordará
recupera	recuperará
reduce	reducirá
reemplaza	reemplazará
regresa	regresará
requiere	requerirá
resuelve	resolverá
revisa	revisará
saca	sacará
siente	sentirá
señala	señalará
sobrevive	sobrevivirá
sugiere	sugerirá
toma	tomará
utiliza	utilizará
verifica	verificará
