abandona	abandonará
acelera	acelerará
alcanza	alcanzará
asume	asumirá
atrae	atraerá
aumenta	aumentará
avanza	avanzará
causa	causará
comparte	compartirá
concluye	concluirá
conduce	conducirá
contiene	contendrá
continúa	continuará
corre	correrá
cuida	cuidará
define	definirá
descubre	descubrirá
destaca	destacará
ejecuta	ejecutará
explora	explorará
facilita	facilitará
firma	firmará
formula	formulará
gasta	gastará
gestiona	gestionará
hace	hará
informa	informará
instala	instalará
intenta	intentará
juega	jugará
lucha	luchará
maneja	manejará
mantiene	mantendrá
opera	operará
oye	oirá
parece	parecerá
pasa	pasará
pide	pedirá
puede	podrá
presenta	presentará
presta	prestará
propone	propondrá
queda	quedará
recuerda	recordará
respeta	respetará
responde	responderá
saca	sacará
sienta	sentará
sugiere	sugerirá
suma	sumará
