abren	abrió
agradecen	agradeció
aprovechan	aprovechó
aseguran	aseguró
aumentan	aumentó
ayudan	ayudó
buscan	buscó
cantan	cantó
casan	casó
comparten	compartió
comprueban	comprobó
confían	confió
cubren	cubrió
dan	dio
dejan	dejó
dependen	dependió
descubren	descubrió
designan	designó
encuentran	encontró
enfrentan	enfrentó
expresan	expresó
facilitan	facilitó
firman	firmó
funcionan	funcionó
gastan	gastó
gestionan	gestionó
hacen	hizo
impiden	impidió
incrementan	incrementó
indican	indicó
integran	integró
limpian	limpió
manejan	manejó
organizan	organizó
pagan	pagó
pasan	pasó
piden	pidió
protegen	protegió
proveen	proveyó
recuerdan	recordó
recuperan	recuperó
reemplazan	reemplazó
refieren	refirió
satisfacen	satisfizo
supervisan	supervisó
trabajan	trabajó
unen	unió
vienen	vino
viajan	viajó
vuelan	voló
