acelera	acelerarán
acepta	aceptarán
analiza	analizarán
averigua	averiguarán
comprende	comprenderán
concluye	concluirán
confía	confiarán
cuenta	contarán
continúa	continuarán
controla	controlarán
crea	crearán
crece	crecerán
cubre	cubrirán
cumple	cumplirán
dice	dirán
define	definirán
destruye	destruirán
disfruta	disfrutarán
elige	elegirán
elimina	eliminarán
entiende	entenderán
espera	esperarán
evita	evitarán
explica	explicarán
explora	explorarán
fomenta	fomentarán
formula	formularán
habla	hablarán
inicia	iniciarán
investiga	investigarán
observa	observarán
obtiene	obtendrán
para	pararán
participa	participarán
pregunta	preguntarán
prepara	prepararán
previene	prevendrán
publica	publicarán
recoge	recogerán
reconoce	reconocerán
recupera	recuperarán
reduce	reducirán
respeta	respetarán
salva	salvarán
sigue	seguirán
selecciona	seleccionarán
señala	señalarán
suma	sumarán
utiliza	utilizarán
vota	votarán
