acelera	aceleran
administra	administran
analiza	analizan
anuncia	anuncian
aplica	aplican
cae	caen
cambia	cambian
canta	cantan
causa	causan
completa	completan
confirma	confirman
conserva	conservan
contiene	contienen
convierte	convierten
coopera	cooperan
coordina	coordinan
defiende	defienden
define	definen
dirige	dirigen
ejerce	ejercen
elabora	elaboran
encuentra	encuentran
entra	entran
examina	examinan
existe	existen
explica	explican
funciona	funcionan
impone	imponen
involucra	involucran
limita	limitan
llama	llaman
lleva	llevan
menciona	mencionan
obtiene	obtienen
ofrece	ofrecen
para	paran
piensa	piensan
pierde	pierden
permanece	permanecen
pone	ponen
refuerza	refuerzan
regresa	regresan
relaciona	relacionan
requiere	requieren
respeta	respetan
responde	responden
rompe	rompen
sabe	saben
selecciona	seleccionan
toca	tocan
