acordé	acordaríais
apoyé	apoyaríais
asistí	asistiríais
comprendí	comprenderíais
confié	confiaríais
conservé	conservaríais
continué	continuaríais
convertí	convertiríais
cooperé	cooperaríais
crecí	creceríais
creí	creeríais
di	daríais
designé	designaríais
eliminé	eliminaríais
escribí	escribiríais
existí	existiríais
expresé	expresaríais
fallé	fallaríais
financié	financiaríais
firmé	firmaríais
fomenté	fomentaríais
formé	formaríais
fortalecí	fortaleceríais
hube	habríais
introduje	introduciríais
fui	iríais
jugué	jugaríais
localicé	localizaríais
mostré	mostraríais
necesité	necesitaríais
ocurrí	ocurriríais
ofrecí	ofreceríais
olvidé	olvidaríais
pensé	pensaríais
perdí	perderíais
probé	probaríais
promoví	promoveríais
recibí	recibiríais
reconocí	reconoceríais
recordé	recordaríais
seguí	seguiríais
señalé	señalaríais
solicité	solicitaríais
sufrí	sufriríais
sugerí	sugeriríais
tuve	tendríais
terminé	terminaríais
uní	uniríais
visité	visitaríais
voté	votaríais
