actué	actuarían
adopté	adoptarían
anuncié	anunciarían
asumí	asumirían
aumenté	aumentarían
bailé	bailarían
caminé	caminarían
compartí	compartirían
comprobé	comprobarían
concluí	concluirían
consistí	consistirían
consulté	consultarían
contribuí	contribuirían
coordiné	coordinarían
corté	cortarían
crecí	crecerían
di	darían
dependí	dependerían
desarrollé	desarrollarían
describí	describirían
enfrenté	enfrentarían
envié	enviarían
escapé	escaparían
establecí	establecerían
fallé	fallarían
fomenté	fomentarían
garanticé	garantizarían
guardé	guardarían
hice	harían
imaginé	imaginarían
impedí	impedirían
incluí	incluirían
informé	informarían
logré	lograrían
mostré	mostrarían
observé	observarían
ocurrí	ocurrirían
participé	participarían
pasé	pasarían
permanecí	permanecerían
preparé	prepararían
preservé	preservarían
proporcioné	proporcionarían
proveí	proveerían
recuperé	recuperarían
relacioné	relacionarían
respondí	responderían
solicité	solicitarían
tomé	tomarían
verifiqué	verificarían
