abrió	abrieron
administró	administraron
asumió	asumieron
atendió	atendieron
atrajo	atrajeron
aumentó	aumentaron
cambió	cambiaron
combatió	combatieron
completó	completaron
compró	compraron
comprendió	comprendieron
consistió	consistieron
continuó	continuaron
controló	controlaron
creó	crearon
creyó	creyeron
dijo	dijeron
dependió	dependieron
describió	describieron
destacó	destacaron
entendió	entendieron
evadió	evadieron
examinó	examinaron
exploró	exploraron
formuló	formularon
ganó	ganaron
hubo	hubieron
identificó	identificaron
incorporó	incorporaron
instaló	instalaron
involucró	involucraron
limpió	limpiaron
llamó	llamaron
mantuvo	mantuvieron
modificó	modificaron
movió	movieron
observó	observaron
organizó	organizaron
pagó	pagaron
permitió	permitieron
publicó	publicaron
recogió	recogieron
reconoció	reconocieron
respondió	respondieron
rompió	rompieron
salió	salieron
sintió	sintieron
fue	fueron
sumó	sumaron
unió	unieron
