abordaron	abordarían
animaron	animarían
anunciaron	anunciarían
asistieron	asistirían
atendieron	atenderían
atrajeron	atraerían
ayudaron	ayudarían
bailaron	bailarían
buscaron	buscarían
cantaron	cantarían
combatieron	combatirían
conocieron	conocerían
conservaron	conservarían
consultaron	consultarían
contuvieron	contendrían
corrieron	correrían
desarrollaron	desarrollarían
elaboraron	elaborarían
eligieron	elegirían
evadieron	evadirían
fallaron	fallarían
impidieron	impedirían
implicaron	implicarían
investigaron	investigarían
llamaron	llamarían
localizaron	localizarían
murieron	morirían
operaron	operarían
oyeron	oirían
pensaron	pensarían
permanecieron	permanecerían
prepararon	prepararían
promocionaron	promocionarían
propusieron	propondrían
proporcionaron	proporcionarían
proveyeron	proveerían
quedaron	quedarían
realizaron	realizarían
regresaron	regresarían
resolvieron	resolverían
respondieron	responderían
rompieron	romperían
satisficieron	satisfarían
siguieron	seguirían
sentaron	sentarían
señalaron	señalarían
sumaron	sumarían
supervisaron	supervisarían
trabajaron	trabajarían
utilizaron	utilizarían
