actuábamos	actuarán
adoptábamos	adoptarán
adquiríamos	adquirirán
apoyábamos	apoyarán
bailábamos	bailarán
bebíamos	beberán
casábamos	casarán
comprendíamos	comprenderán
concluíamos	concluirán
conservábamos	conservarán
consolidábamos	consolidarán
decíamos	dirán
defendíamos	defenderán
desempeñábamos	desempeñarán
designábamos	designarán
eliminábamos	eliminarán
estábamos	estarán
expresábamos	expresarán
funcionábamos	funcionarán
gestionábamos	gestionarán
guardábamos	guardarán
habilitábamos	habilitarán
hacíamos	harán
informábamos	informarán
iniciábamos	iniciarán
integrábamos	integrarán
llamábamos	llamarán
moríamos	morirán
pagábamos	pagarán
partíamos	partirán
pedíamos	pedirán
preguntábamos	preguntarán
preveníamos	prevendrán
probábamos	probarán
producíamos	producirán
proponíamos	propondrán
protegíamos	protegerán
realizábamos	realizarán
recordábamos	recordarán
representábamos	representarán
requeríamos	requerirán
robábamos	robarán
sentábamos	sentarán
sentíamos	sentirán
éramos	serán
señalábamos	señalarán
tomábamos	tomarán
tratábamos	tratarán
veníamos	vendrán
verificábamos	verificarán
