abandonábamos	abandoné
accedíamos	accedí
analizábamos	analicé
animábamos	animé
anunciábamos	anuncié
aprobábamos	aprobé
aprovechábamos	aproveché
añadíamos	añadí
casábamos	casé
cerrábamos	cerré
combatíamos	combatí
comprábamos	compré
conocíamos	conocí
conseguíamos	conseguí
consistíamos	consistí
conteníamos	contuve
continuábamos	continué
convertíamos	convertí
cortábamos	corté
creábamos	creé
cubríamos	cubrí
cuidábamos	cuidé
dependíamos	dependí
ejercíamos	ejercí
elaborábamos	elaboré
empezábamos	empecé
fomentábamos	fomenté
habíamos	hube
hacíamos	hice
informábamos	informé
invertíamos	invertí
involucrábamos	involucré
limpiábamos	limpié
ofrecíamos	ofrecí
olvidábamos	olvidé
partíamos	partí
permanecíamos	permanecí
poníamos	puse
presentábamos	presenté
promocionábamos	promocioné
protegíamos	protegí
reconocíamos	reconocí
recordábamos	recordé
referíamos	referí
requeríamos	requerí
superábamos	superé
tocábamos	toqué
trabajábamos	trabajé
utilizábamos	utilicé
volábamos	volé
