adquiría	adquiriremos
aprovechaba	aprovecharemos
asumía	asumiremos
atraía	atraeremos
aumentaba	aumentaremos
añadía	añadiremos
caía	caeremos
casaba	casaremos
causaba	causaremos
celebraba	celebraremos
completaba	completaremos
conducía	conduciremos
conseguía	conseguiremos
consultaba	consultaremos
contribuía	contribuiremos
crecía	creceremos
cubría	cubriremos
decidía	decidiremos
dependía	dependeremos
destacaba	destacaremos
dormía	dormiremos
escapaba	escaparemos
exploraba	exploraremos
expresaba	expresaremos
ganaba	ganaremos
gestionaba	gestionaremos
impedía	impediremos
informaba	informaremos
instalaba	instalaremos
intentaba	intentaremos
mejoraba	mejoraremos
miraba	miraremos
ofrecía	ofreceremos
parecía	pareceremos
participaba	participaremos
presentaba	presentaremos
preservaba	preservaremos
promovía	promoveremos
reducía	reduciremos
reforzaba	reforzaremos
respondía	responderemos
robaba	robaremos
rompía	romperemos
sabía	sabremos
salía	saldremos
sentaba	sentaremos
supervisaba	supervisaremos
venía	vendremos
verificaba	verificaremos
vivía	viviremos
