actuaba	actuó
alcanzaba	alcanzó
animaba	animó
atendía	atendió
avanzaba	avanzó
añadía	añadió
bailaba	bailó
celebraba	celebró
combatía	combatió
comenzaba	comenzó
compraba	compró
confiaba	confió
conservaba	conservó
consolidaba	consolidó
cooperaba	cooperó
crecía	creció
cubría	cubrió
dependía	dependió
destruía	destruyó
ejercía	ejerció
elaboraba	elaboró
elegía	eligió
empezaba	empezó
entraba	entró
esperaba	esperó
establecía	estableció
evaluaba	evaluó
examinaba	examinó
financiaba	financió
fomentaba	fomentó
funcionaba	funcionó
incrementaba	incrementó
informaba	informó
instalaba	instaló
intentaba	intentó
leía	leyó
operaba	operó
preguntaba	preguntó
preparaba	preparó
proveía	proveyó
realizaba	realizó
reemplazaba	reemplazó
refería	refirió
regresaba	regresó
representaba	representó
respetaba	respetó
rompía	rompió
salía	salió
era	fue
terminaba	terminó
