acordaban	acordarían
aparecían	aparecerían
apoyaban	apoyarían
aprendían	aprenderían
aseguraban	asegurarían
atendían	atenderían
atraían	atraerían
aumentaban	aumentarían
buscaban	buscarían
caían	caerían
cantaban	cantarían
conocían	conocerían
conseguían	conseguirían
contribuían	contribuirían
crecían	crecerían
cubrían	cubrirían
determinaban	determinarían
discutían	discutirían
entraban	entrarían
evitaban	evitarían
existían	existirían
explicaban	explicarían
facilitaban	facilitarían
garantizaban	garantizarían
gestionaban	gestionarían
hacían	harían
implicaban	implicarían
investigaban	investigarían
involucraban	involucrarían
jugaban	jugarían
luchaban	lucharían
ocurrían	ocurrirían
proponían	propondrían
proporcionaban	proporcionarían
protegían	protegerían
proveían	proveerían
recogían	recogerían
recordaban	recordarían
resolvían	resolverían
rompían	romperían
sacaban	sacarían
satisfacían	satisfarían
sentaban	sentarían
eran	serían
servían	servirían
solicitaban	solicitarían
traían	traerían
usaban	usarían
vendían	venderían
votaban	votarían
