aprendían	aprendieron
atraían	atrajeron
aumentaban	aumentaron
cambiaban	cambiaron
casaban	casaron
causaban	causaron
concluían	concluyeron
conocían	conocieron
construían	construyeron
contenían	contuvieron
continuaban	continuaron
contribuían	contribuyeron
creían	creyeron
cumplían	cumplieron
definían	definieron
discutían	discutieron
disfrutaban	disfrutaron
ejecutaban	ejecutaron
ejercían	ejercieron
elaboraban	elaboraron
eliminaban	eliminaron
enfrentaban	enfrentaron
escuchaban	escucharon
estudiaban	estudiaron
expresaban	expresaron
fomentaban	fomentaron
garantizaban	garantizaron
gestionaban	gestionaron
implicaban	implicaron
incrementaban	incrementaron
iniciaban	iniciaron
invertían	invirtieron
involucraban	involucraron
iban	fueron
lograban	lograron
mejoraban	mejoraron
miraban	miraron
observaban	observaron
pasaban	pasaron
ponían	pusieron
recibían	recibieron
rompían	rompieron
sabían	supieron
salían	salieron
satisfacían	satisficieron
eran	fueron
superaban	superaron
tenían	tuvieron
trabajaban	trabajaron
visitaban	visitaron
