abordaba	abordará
abría	abrirá
agradecía	agradecerá
alentaba	alentará
animaba	animará
aparecía	aparecerá
aprovechaba	aprovechará
atendía	atenderá
ayudaba	ayudará
caía	caerá
casaba	casará
causaba	causará
comenzaba	comenzará
comía	comerá
comprobaba	comprobará
confirmaba	confirmará
contenía	contendrá
creaba	creará
creía	creerá
cumplía	cumplirá
dejaba	dejará
demostraba	demostrará
descubría	descubrirá
destacaba	destacará
detenía	detendrá
dirigía	dirigirá
discutía	discutirá
ejecutaba	ejecutará
enseñaba	enseñará
entendía	entenderá
examinaba	examinará
firmaba	firmará
imaginaba	imaginará
informaba	informará
manejaba	manejará
mencionaba	mencionará
modificaba	modificará
moría	morirá
movía	moverá
paraba	parará
permitía	permitirá
preparaba	preparará
prevenía	prevendrá
promocionaba	promocionará
promovía	promoverá
quedaba	quedará
realizaba	realizará
sugería	sugerirá
tomaba	tomará
votaba	votará
