aceptaba	aceptaban
actuaba	actuaban
alentaba	alentaban
anunciaba	anunciaban
aprendía	aprendían
aprovechaba	aprovechaban
bailaba	bailaban
cambiaba	cambiaban
consolidaba	consolidaban
desarrollaba	desarrollaban
describía	describían
dirigía	dirigían
ejercía	ejercían
enfrentaba	enfrentaban
enviaba	enviaban
evadía	evadían
evitaba	evitaban
exploraba	exploraban
fallaba	fallaban
funcionaba	funcionaban
gastaba	gastaban
guardaba	guardaban
imponía	imponían
informaba	informaban
localizaba	localizaban
lograba	lograban
medía	medían
obtenía	obtenían
oía	oían
pedía	pedían
pensaba	pensaban
permitía	permitían
preparaba	preparaban
preservaba	preservaban
prestaba	prestaban
probaba	probaban
producía	producían
proporcionaba	proporcionaban
protegía	protegían
quedaba	quedaban
recordaba	recordaban
recuperaba	recuperaban
relacionaba	relacionaban
representaba	representaban
sabía	sabían
sacaba	sacaban
sobrevivía	sobrevivían
solicitaba	solicitaban
terminaba	terminaban
volaba	volaban
