abandonaban	abandonasteis
alcanzaban	alcanzasteis
aparecían	aparecisteis
atendían	atendisteis
averiguaban	averiguasteis
ayudaban	ayudasteis
añadían	añadisteis
caían	caísteis
celebraban	celebrasteis
compraban	comprasteis
comprobaban	comprobasteis
conducían	condujisteis
consolidaban	consolidasteis
consultaban	consultasteis
convertían	convertisteis
corrían	corristeis
cuidaban	cuidasteis
decidían	decidisteis
decían	dijisteis
destruían	destruisteis
detenían	detuvisteis
dirigían	dirigisteis
dormían	dormisteis
enviaban	enviasteis
escuchaban	escuchasteis
examinaban	examinasteis
expresaban	expresasteis
facilitaban	facilitasteis
garantizaban	garantizasteis
implicaban	implicasteis
investigaban	investigasteis
llevaban	llevasteis
lograban	lograsteis
mencionaban	mencionasteis
miraban	mirasteis
movían	movisteis
ofrecían	ofrecisteis
operaban	operasteis
oían	oísteis
pasaban	pasasteis
presentaban	presentasteis
promocionaban	promocionasteis
reconocían	reconocisteis
recordaban	recordasteis
respetaban	respetasteis
robaban	robasteis
rompían	rompisteis
sacaban	sacasteis
seleccionaban	seleccionasteis
sugerían	sugeristeis
