abandonaré	abandonaréis
administraré	administraréis
anunciaré	anunciaréis
aplicaré	aplicaréis
apoyaré	apoyaréis
aprenderé	aprenderéis
atraeré	atraeréis
avanzaré	avanzaréis
caeré	caeréis
caminaré	caminaréis
casaré	casaréis
confiaré	confiaréis
controlaré	controlaréis
cortaré	cortaréis
cumpliré	cumpliréis
defenderé	defenderéis
dependeré	dependeréis
desarrollaré	desarrollaréis
descargaré	descargaréis
describiré	describiréis
descubriré	descubriréis
determinaré	determinaréis
eliminaré	eliminaréis
enviaré	enviaréis
estudiaré	estudiaréis
examinaré	examinaréis
expresaré	expresaréis
formaré	formaréis
imaginaré	imaginaréis
impondré	impondréis
limitaré	limitaréis
mostraré	mostraréis
pagaré	pagaréis
podré	podréis
presentaré	presentaréis
preservaré	preservaréis
prestaré	prestaréis
recordaré	recordaréis
reduciré	reduciréis
relacionaré	relacionaréis
representaré	representaréis
salvaré	salvaréis
satisfaré	satisfaréis
sufriré	sufriréis
tendré	tendréis
tocaré	tocaréis
trabajaré	trabajaréis
traeré	traeréis
trataré	trataréis
volveré	volveréis
