accederán	accederían
alentarán	alentarían
analizarán	analizarían
aprenderán	aprenderían
atraerán	atraerían
caerán	caerían
casarán	casarían
cerrarán	cerrarían
completarán	completarían
comprenderán	comprenderían
comprobarán	comprobarían
contarán	contarían
contendrán	contendrían
correrán	correrían
cortarán	cortarían
darán	darían
demostrarán	demostrarían
describirán	describirían
descubrirán	descubrirían
determinarán	determinarían
discutirán	discutirían
elegirán	elegirían
entenderán	entenderían
evadirán	evadirían
explicarán	explicarían
fortalecerán	fortalecerían
impedirán	impedirían
impondrán	impondrían
iniciarán	iniciarían
integrarán	integrarían
introducirán	introducirían
necesitarán	necesitarían
ocurrirán	ocurrirían
operarán	operarían
organizarán	organizarían
oirán	oirían
pagarán	pagarían
pararán	pararían
parecerán	parecerían
partirán	partirían
pasarán	pasarían
prevendrán	prevendrían
recordarán	recordarían
satisfarán	satisfarían
sugerirán	sugerirían
tendrán	tendrían
tratarán	tratarían
verán	verían
viajarán	viajarían
volverán	volverían
