aceptando	aceptaban
acordando	acordaban
ampliando	ampliaban
animando	animaban
anunciando	anunciaban
aumentando	aumentaban
avanzando	avanzaban
ayudando	ayudaban
bebiendo	bebían
cayendo	caían
caminando	caminaban
consistiendo	consistían
dejando	dejaban
desempeñando	desempeñaban
designando	designaban
ejerciendo	ejercían
eligiendo	elegían
empezando	empezaban
escapando	escapaban
esperando	esperaban
estando	estaban
evaluando	evaluaban
garantizando	garantizaban
identificando	identificaban
imaginando	imaginaban
invirtiendo	invertían
limitando	limitaban
llamando	llamaban
localizando	localizaban
mirando	miraban
modificando	modificaban
olvidando	olvidaban
pensando	pensaban
preservando	preservaban
produciendo	producían
promocionando	promocionaban
proveyendo	proveían
realizando	realizaban
regresando	regresaban
relacionando	relacionaban
sentando	sentaban
sirviendo	servían
sugiriendo	sugerían
supervisando	supervisaban
tratando	trataban
utilizando	utilizaban
viniendo	venían
viviendo	vivían
volando	volaban
votando	votaban
