abordasteis	abordarán
abristeis	abrirán
aceptasteis	aceptarán
actuasteis	actuarán
administrasteis	administrarán
alcanzasteis	alcanzarán
ampliasteis	ampliarán
aprovechasteis	aprovecharán
atrajisteis	atraerán
bebisteis	beberán
combatisteis	combatirán
comenzasteis	comenzarán
completasteis	completarán
contasteis	contarán
convertisteis	convertirán
coordinasteis	coordinarán
cubristeis	cubrirán
describisteis	describirán
dirigisteis	dirigirán
escribisteis	escribirán
esperasteis	esperarán
evaluasteis	evaluarán
evitasteis	evitarán
examinasteis	examinarán
exististeis	existirán
financiasteis	financiarán
firmasteis	firmarán
hubisteis	habrán
habilitasteis	habilitarán
incorporasteis	incorporarán
investigasteis	investigarán
llamasteis	llamarán
medisteis	medirán
mostrasteis	mostrarán
movisteis	moverán
ocurristeis	ocurrirán
olvidasteis	olvidarán
partisteis	partirán
previnisteis	prevendrán
promovisteis	promoverán
recordasteis	recordarán
recuperasteis	recuperarán
regresasteis	regresarán
relacionasteis	relacionarán
robasteis	robarán
sentasteis	sentarán
sentisteis	sentirán
fuisteis	serán
vendisteis	venderán
verificasteis	verificarán
