acordaron	acordaré
alcanzaron	alcanzaré
ampliaron	ampliaré
animaron	animaré
anunciaron	anunciaré
apoyaron	apoyaré
aprovecharon	aprovecharé
bailaron	bailaré
causaron	causaré
completaron	completaré
conservaron	conservaré
consideraron	consideraré
consolidaron	consolidaré
convirtieron	convertiré
cooperaron	cooperaré
demostraron	demostraré
ejercieron	ejerceré
estudiaron	estudiaré
examinaron	examinaré
facilitaron	facilitaré
fomentaron	fomentaré
formularon	formularé
fortalecieron	fortaleceré
garantizaron	garantizaré
gastaron	gastaré
hicieron	haré
incorporaron	incorporaré
invirtieron	invertiré
investigaron	investigaré
leyeron	leeré
llegaron	llegaré
olvidaron	olvidaré
permanecieron	permaneceré
pudieron	podré
pusieron	pondré
propusieron	propondré
recibieron	recibiré
recogieron	recogeré
reforzaron	reforzaré
resolvieron	resolveré
rompieron	romperé
supieron	sabré
salieron	saldré
supervisaron	supervisaré
tuvieron	tendré
trajeron	traeré
trataron	trataré
vinieron	vendré
vieron	veré
visitaron	visitaré
