abandonamos	abandonábamos
alcanzamos	alcanzábamos
analizamos	analizábamos
animamos	animábamos
anunciamos	anunciábamos
bailamos	bailábamos
bebemos	bebíamos
cantamos	cantábamos
compramos	comprábamos
confirmamos	confirmábamos
consideramos	considerábamos
consultamos	consultábamos
contribuimos	contribuíamos
creamos	creábamos
damos	dábamos
demostramos	demostrábamos
designamos	designábamos
destruimos	destruíamos
discutimos	discutíamos
enseñamos	enseñábamos
establecemos	establecíamos
estamos	estábamos
evadimos	evadíamos
evaluamos	evaluábamos
existimos	existíamos
exploramos	explorábamos
fortalecemos	fortalecíamos
funcionamos	funcionábamos
gastamos	gastábamos
impedimos	impedíamos
introducimos	introducíamos
llamamos	llamábamos
localizamos	localizábamos
matamos	matábamos
mencionamos	mencionábamos
modificamos	modificábamos
morimos	moríamos
mostramos	mostrábamos
pagamos	pagábamos
parecemos	parecíamos
perdemos	perdíamos
reducimos	reducíamos
respondemos	respondíamos
sabemos	sabíamos
salimos	salíamos
seleccionamos	seleccionábamos
sentimos	sentíamos
sugerimos	sugeríamos
superamos	superábamos
utilizamos	utilizábamos
