adoptáis	adoptarán
alcanzáis	alcanzarán
alentáis	alentarán
anunciáis	anunciarán
averiguáis	averiguarán
comenzáis	comenzarán
completáis	completarán
conducís	conducirán
construís	construirán
contáis	contarán
corréis	correrán
cortáis	cortarán
creéis	creerán
cumplís	cumplirán
defendéis	defenderán
dependéis	dependerán
determináis	determinarán
discutís	discutirán
elaboráis	elaborarán
elimináis	eliminarán
encontráis	encontrarán
escucháis	escucharán
evitáis	evitarán
existís	existirán
expresáis	expresarán
formáis	formarán
generáis	generarán
habilitáis	habilitarán
vais	irán
llegáis	llegarán
manejáis	manejarán
matáis	matarán
modificáis	modificarán
movéis	moverán
organizáis	organizarán
pagáis	pagarán
pedís	pedirán
podéis	podrán
preguntáis	preguntarán
presentáis	presentarán
preserváis	preservarán
prestáis	prestarán
proponéis	propondrán
proveéis	proveerán
quedáis	quedarán
regresáis	regresarán
requerís	requerirán
respetáis	respetarán
seguís	seguirán
tocáis	tocarán
