abordáis	abordamos
administráis	administramos
ampliáis	ampliamos
aprendéis	aprendimos
bailáis	bailamos
compartís	compartimos
confirmáis	confirmamos
consolidáis	consolidamos
controláis	controlamos
corréis	corrimos
cumplís	cumplimos
decís	dijimos
designáis	designamos
elaboráis	elaboramos
escapáis	escapamos
estáis	estuvimos
formáis	formamos
generáis	generamos
habéis	hubimos
hacéis	hicimos
implicáis	implicamos
introducís	introdujimos
involucráis	involucramos
lloráis	lloramos
lucháis	luchamos
manejáis	manejamos
mantenéis	mantuvimos
matáis	matamos
medís	medimos
movéis	movimos
ocurrís	ocurrimos
participáis	participamos
pasáis	pasamos
pedís	pedimos
permitís	permitimos
ponéis	pusimos
prestáis	prestamos
producís	produjimos
proponéis	propusimos
referís	referimos
relacionáis	relacionamos
requerís	requerimos
robáis	robamos
satisfacéis	satisficimos
seleccionáis	seleccionamos
soportáis	soportamos
traéis	trajimos
unís	unimos
vendéis	vendimos
venís	vinimos
