aceleras/acelerás	acelerará
adoptas/adoptás	adoptará
alcanzas/alcanzás	alcanzará
anuncias/anunciás	anunciará
asistes/asistís	asistirá
bebes/bebés	beberá
caminas/caminás	caminará
casas/casás	casará
compartes/compartís	compartirá
consigues/conseguís	conseguirá
construyes/construís	construirá
corres/corrés	correrá
creces/crecés	crecerá
das	dará
descargas/descargás	descargará
ejecutas/ejecutás	ejecutará
evades/evadís	evadirá
expresas/expresás	expresará
facilitas/facilitás	facilitará
fallas/fallás	fallará
fomentas/fomentás	fomentará
formas/formás	formará
guardas/guardás	guardará
impides/impedís	impedirá
incluyes/incluís	incluirá
instalas/instalás	instalará
integras/integrás	integrará
intentas/intentás	intentará
limitas/limitás	limitará
manejas/manejás	manejará
matas/matás	matará
ocurres/ocurrís	ocurrirá
ofreces/ofrecés	ofrecerá
partes/partís	partirá
piensas/pensás	pensará
permites/permitís	permitirá
pones/ponés	pondrá
preguntas/preguntás	preguntará
preparas/preparás	preparará
prestas/prestás	prestará
promueves/promovés	promoverá
publicas/publicás	publicará
rompes/rompés	romperá
sales/salís	saldrá
sigues/seguís	seguirá
seleccionas/seleccionás	seleccionará
soportas/soportás	soportará
superas/superás	superará
trabajas/trabajás	trabajará
vives/vivís	vivirá
