acceden	accedieron
agradecen	agradecieron
casan	casaron
causan	causaron
consideran	consideraron
controlan	controlaron
coordinan	coordinaron
cortan	cortaron
defienden	defendieron
designan	designaron
determinan	determinaron
discuten	discutieron
ejecutan	ejecutaron
elaboran	elaboraron
enfrentan	enfrentaron
entran	entraron
establecen	establecieron
están	estuvieron
evalúan	evaluaron
garantizan	garantizaron
guardan	guardaron
imaginan	imaginaron
localizan	localizaron
logran	lograron
luchan	lucharon
manejan	manejaron
mantienen	mantuvieron
muestran	mostraron
mueven	movieron
organizan	organizaron
oyen	oyeron
pagan	pagaron
pasan	pasaron
piden	pidieron
piensan	pensaron
pierden	perdieron
publican	publicaron
reemplazan	reemplazaron
representan	representaron
sienten	sintieron
son	fueron
sirven	sirvieron
sobreviven	sobrevivieron
solicitan	solicitaron
superan	superaron
trabajan	trabajaron
traen	trajeron
unen	unieron
viven	vivieron
vuelven	volvieron
