acelerabais	aceleraremos
adquiríais	adquiriremos
anunciabais	anunciaremos
aumentabais	aumentaremos
avanzabais	avanzaremos
bailabais	bailaremos
bebíais	beberemos
caíais	caeremos
combatíais	combatiremos
conseguíais	conseguiremos
consultabais	consultaremos
continuabais	continuaremos
controlabais	controlaremos
convertíais	convertiremos
cortabais	cortaremos
crecíais	creceremos
cubríais	cubriremos
definíais	definiremos
estabais	estaremos
evaluabais	evaluaremos
evitabais	evitaremos
explorabais	exploraremos
formulabais	formularemos
garantizabais	garantizaremos
hacíais	haremos
incrementabais	incrementaremos
indicabais	indicaremos
manejabais	manejaremos
mejorabais	mejoraremos
observabais	observaremos
partíais	partiremos
permanecíais	permaneceremos
podíais	podremos
preguntabais	preguntaremos
preparabais	prepararemos
preveníais	prevendremos
probabais	probaremos
realizabais	realizaremos
reconocíais	reconoceremos
recuperabais	recuperaremos
revisabais	revisaremos
salíais	saldremos
satisfacíais	satisfaremos
servíais	serviremos
sobrevivíais	sobreviviremos
supervisabais	supervisaremos
traíais	traeremos
usabais	usaremos
veníais	vendremos
volabais	volaremos
