administraremos	administraría
anunciaremos	anunciaría
asistiremos	asistiría
asumiremos	asumiría
causaremos	causaría
completaremos	completaría
confirmaremos	confirmaría
conservaremos	conservaría
consideraremos	consideraría
contendremos	contendría
continuaremos	continuaría
contribuiremos	contribuiría
controlaremos	controlaría
correremos	correría
cuidaremos	cuidaría
demostraremos	demostraría
descubriremos	descubriría
desempeñaremos	desempeñaría
designaremos	designaría
determinaremos	determinaría
dirigiremos	dirigiría
encontraremos	encontraría
enviaremos	enviaría
esperaremos	esperaría
estaremos	estaría
estudiaremos	estudiaría
explicaremos	explicaría
firmaremos	firmaría
funcionaremos	funcionaría
implicaremos	implicaría
incluiremos	incluiría
incorporaremos	incorporaría
indicaremos	indicaría
iniciaremos	iniciaría
instalaremos	instalaría
intentaremos	intentaría
introduciremos	introduciría
invertiremos	invertiría
limitaremos	limitaría
llegaremos	llegaría
mediremos	mediría
ofreceremos	ofrecería
pediremos	pediría
podremos	podría
preguntaremos	preguntaría
prepararemos	prepararía
recordaremos	recordaría
relacionaremos	relacionaría
sacaremos	sacaría
trataremos	trataría
