aceptaré	aceptaremos
animaré	animaremos
aplicaré	aplicaremos
aprobaré	aprobaremos
asistiré	asistiremos
atenderé	atenderemos
atraeré	atraeremos
caeré	caeremos
concluiré	concluiremos
conduciré	conduciremos
conseguiré	conseguiremos
consistiré	consistiremos
construiré	construiremos
controlaré	controlaremos
diré	diremos
dejaré	dejaremos
dormiré	dormiremos
enfrentaré	enfrentaremos
entenderé	entenderemos
escucharé	escucharemos
esperaré	esperaremos
firmaré	firmaremos
gastaré	gastaremos
generaré	generaremos
habilitaré	habilitaremos
incorporaré	incorporaremos
informaré	informaremos
iniciaré	iniciaremos
ocurriré	ocurriremos
ofreceré	ofreceremos
perderé	perderemos
presentaré	presentaremos
preservaré	preservaremos
produciré	produciremos
quedaré	quedaremos
reduciré	reduciremos
relacionaré	relacionaremos
representaré	representaremos
respetaré	respetaremos
responderé	responderemos
romperé	romperemos
sabré	sabremos
seré	seremos
solicitaré	solicitaremos
tendré	tendremos
traeré	traeremos
trataré	trataremos
viviré	viviremos
volaré	volaremos
votaré	votaremos
