aceptarán	aceptarían
alcanzarán	alcanzarían
aparecerán	aparecerían
aprenderán	aprenderían
aumentarán	aumentarían
cambiarán	cambiarían
casarán	casarían
compartirán	compartirían
completarán	completarían
comprenderán	comprenderían
conducirán	conducirían
confirmarán	confirmarían
consolidarán	consolidarían
construirán	construirían
cumplirán	cumplirían
darán	darían
detendrán	detendrían
disfrutarán	disfrutarían
elaborarán	elaborarían
encontrarán	encontrarían
entrarán	entrarían
evaluarán	evaluarían
fallarán	fallarían
hablarán	hablarían
impondrán	impondrían
incluirán	incluirían
incorporarán	incorporarían
incrementarán	incrementarían
invertirán	invertirían
morirán	morirían
necesitarán	necesitarían
observarán	observarían
operarán	operarían
organizarán	organizarían
partirán	partirían
podrán	podrían
prepararán	prepararían
presentarán	presentarían
prevendrán	prevendrían
probarán	probarían
producirán	producirían
recordarán	recordarían
reducirán	reducirían
reemplazarán	reemplazarían
requerirán	requerirían
satisfarán	satisfarían
sentarán	sentarían
supervisarán	supervisarían
unirán	unirían
volarán	volarían
