abrirá	abriríais
adquirirá	adquiriríais
asistirá	asistiríais
ayudará	ayudaríais
buscará	buscaríais
cerrará	cerraríais
combatirá	combatiríais
completará	completaríais
confirmará	confirmaríais
considerará	consideraríais
consolidará	consolidaríais
cooperará	cooperaríais
desempeñará	desempeñaríais
determinará	determinaríais
dirigirá	dirigiríais
disfrutará	disfrutaríais
elaborará	elaboraríais
encontrará	encontraríais
enfrentará	enfrentaríais
entenderá	entenderíais
entrará	entraríais
establecerá	estableceríais
estará	estaríais
evaluará	evaluaríais
examinará	examinaríais
ganará	ganaríais
investigará	investigaríais
irá	iríais
llegará	llegaríais
llevará	llevaríais
localizará	localizaríais
luchará	lucharíais
manejará	manejaríais
morirá	moriríais
parecerá	pareceríais
perderá	perderíais
pondrá	pondríais
preparará	prepararíais
prestará	prestaríais
promoverá	promoveríais
proveerá	proveeríais
recogerá	recogeríais
reforzará	reforzaríais
sabrá	sabríais
saldrá	saldríais
salvará	salvaríais
superará	superaríais
supervisará	supervisaríais
utilizará	utilizaríais
verificará	verificaríais
