abandonará	abandonaría
abrirá	abriría
alentará	alentaría
animará	animaría
asistirá	asistiría
atraerá	atraería
aumentará	aumentaría
compartirá	compartiría
conocerá	conocería
contendrá	contendría
continuará	continuaría
convertirá	convertiría
cortará	cortaría
creará	crearía
cuidará	cuidaría
desarrollará	desarrollaría
designará	designaría
destacará	destacaría
ejecutará	ejecutaría
explicará	explicaría
formulará	formularía
indicará	indicaría
informará	informaría
intentará	intentaría
invertirá	invertiría
investigará	investigaría
involucrará	involucraría
limpiará	limpiaría
llevará	llevaría
logrará	lograría
mantendrá	mantendría
mostrará	mostraría
ofrecerá	ofrecería
pagará	pagaría
parará	pararía
pensará	pensaría
perderá	perdería
prestará	prestaría
promocionará	promocionaría
realizará	realizaría
relacionará	relacionaría
robará	robaría
saldrá	saldría
señalará	señalaría
solicitará	solicitaría
supervisará	supervisaría
terminará	terminaría
tratará	trataría
vendrá	vendría
visitará	visitaría
