abordará	abordaría
abrirá	abriría
adoptará	adoptaría
adquirirá	adquiriría
anunciará	anunciaría
aplicará	aplicaría
casará	casaría
compartirá	compartiría
conservará	conservaría
consultará	consultaría
destruirá	destruiría
dormirá	dormiría
enseñará	enseñaría
escribirá	escribiría
escuchará	escucharía
esperará	esperaría
evaluará	evaluaría
existirá	existiría
fallará	fallaría
hará	haría
impondrá	impondría
integrará	integraría
involucrará	involucraría
llorará	lloraría
localizará	localizaría
manejará	manejaría
matará	mataría
medirá	mediría
mirará	miraría
olvidará	olvidaría
organizará	organizaría
parará	pararía
parecerá	parecería
permanecerá	permanecería
preservará	preservaría
producirá	produciría
promoverá	promovería
recuperará	recuperaría
referirá	referiría
regresará	regresaría
responderá	respondería
sacará	sacaría
saldrá	saldría
sentará	sentaría
servirá	serviría
soportará	soportaría
supervisará	supervisaría
trabajará	trabajaría
viajará	viajaría
votará	votaría
