abordará	abordaríais
accederá	accederíais
adquirirá	adquiriríais
aparecerá	apareceríais
aprovechará	aprovecharíais
averiguará	averiguaríais
bailará	bailaríais
cambiará	cambiaríais
compartirá	compartiríais
comprenderá	comprenderíais
conducirá	conduciríais
conservará	conservaríais
construirá	construiríais
continuará	continuaríais
cooperará	cooperaríais
creará	crearíais
decidirá	decidiríais
defenderá	defenderíais
dependerá	dependeríais
descargará	descargaríais
dirigirá	dirigiríais
encontrará	encontraríais
entenderá	entenderíais
evitará	evitaríais
explicará	explicaríais
explorará	exploraríais
financiará	financiaríais
firmará	firmaríais
guardará	guardaríais
iniciará	iniciaríais
introducirá	introduciríais
involucrará	involucraríais
irá	iríais
leerá	leeríais
llamará	llamaríais
llorará	lloraríais
luchará	lucharíais
matará	mataríais
modificará	modificaríais
mostrará	mostraríais
olvidará	olvidaríais
oirá	oiríais
permitirá	permitiríais
probará	probaríais
proveerá	proveeríais
revisará	revisaríais
seguirá	seguiríais
traerá	traeríais
vivirá	viviríais
volará	volaríais
