aceptará	aceptarán
administrará	administrarán
apoyará	apoyarán
asegurará	asegurarán
asistirá	asistirán
averiguará	averiguarán
cantará	cantarán
comprará	comprarán
conducirá	conducirán
confirmará	confirmarán
conservará	conservarán
construirá	construirán
cortará	cortarán
creerá	creerán
dará	darán
elegirá	elegirán
entrará	entrarán
escapará	escaparán
examinará	examinarán
financiará	financiarán
ganará	ganarán
gestionará	gestionarán
habilitará	habilitarán
hará	harán
imaginará	imaginarán
indicará	indicarán
introducirá	introducirán
logrará	lograrán
mantendrá	mantendrán
medirá	medirán
mejorará	mejorarán
mencionará	mencionarán
moverá	moverán
necesitará	necesitarán
obtendrá	obtendrán
participará	participarán
presentará	presentarán
preservará	preservarán
producirá	producirán
quedará	quedarán
referirá	referirán
reforzará	reforzarán
representará	representarán
sacará	sacarán
seguirá	seguirán
será	serán
solicitará	solicitarán
supervisará	supervisarán
vendrá	vendrán
visitará	visitarán
