alcanzando	alcanzas/alcanzás
apareciendo	apareces/aparecés
aprovechando	aprovechas/aprovechás
asegurando	aseguras/asegurás
atendiendo	atiendes/atendés
atrayendo	atraes/atraés
avanzando	avanzas/avanzás
caminando	caminas/caminás
casando	casas/casás
cuidando	cuidas/cuidás
diciendo	dices/decís
definiendo	defines/definís
descargando	descargas/descargás
determinando	determinas/determinás
ejerciendo	ejerces/ejercés
elaborando	elaboras/elaborás
enseñando	enseñas/enseñás
evadiendo	evades/evadís
evaluando	evalúas/evaluás
fortaleciendo	fortaleces/fortalecés
ganando	ganas/ganás
gastando	gastas/gastás
generando	generas/generás
implicando	implicas/implicás
incluyendo	incluyes/incluís
incrementando	incrementas/incrementás
intentando	intentas/intentás
investigando	investigas/investigás
jugando	juegas/jugás
llevando	llevas/llevás
mencionando	mencionas/mencionás
observando	observas/observás
partiendo	partes/partís
presentando	presentas/presentás
promocionando	promocionas/promocionás
promoviendo	promueves/promovés
recuperando	recuperas/recuperás
revisando	revisas/revisás
seleccionando	seleccionas/seleccionás
sintiendo	sientes/sentís
señalando	señalas/señalás
sobreviviendo	sobrevives/sobrevivís
solicitando	solicitas/solicitás
terminando	terminas/terminás
trabajando	trabajas/trabajás
uniendo	unes/unís
usando	usas/usás
vendiendo	vendes/vendés
verificando	verificas/verificás
viviendo	vives/vivís
