abrir	abro
actuar	actúo
alentar	aliento
analizar	analizo
asumir	asumo
buscar	busco
comenzar	comienzo
completar	completo
confiar	confío
conocer	conozco
consistir	consisto
consolidar	consolido
contar	cuento
contener	contengo
contribuir	contribuyo
controlar	controlo
cuidar	cuido
dejar	dejo
depender	dependo
designar	designo
determinar	determino
elegir	elijo
encontrar	encuentro
enfrentar	enfrento
entrar	entro
escuchar	escucho
evitar	evito
firmar	firmo
haber	he
imaginar	imagino
incluir	incluyo
ir	voy
llorar	lloro
luchar	lucho
mirar	miro
mostrar	muestro
organizar	organizo
presentar	presento
publicar	publico
quedar	quedo
relacionar	relaciono
sentar	siento
ser	soy
sufrir	sufro
tratar	trato
unir	uno
usar	uso
visitar	visito
volar	vuelo
volver	vuelvo
