abierto	abrieron
acordado	acordaron
anunciado	anunciaron
apoyado	apoyaron
ayudado	ayudaron
bailado	bailaron
cantado	cantaron
confiado	confiaron
confirmado	confirmaron
consultado	consultaron
cortado	cortaron
creado	crearon
dicho	dijeron
dejado	dejaron
descubierto	descubrieron
determinado	determinaron
discutido	discutieron
esperado	esperaron
establecido	establecieron
evadido	evadieron
explorado	exploraron
facilitado	facilitaron
formulado	formularon
fortalecido	fortalecieron
impedido	impidieron
incorporado	incorporaron
logrado	lograron
matado	mataron
mirado	miraron
obtenido	obtuvieron
pasado	pasaron
producido	produjeron
promocionado	promocionaron
protegido	protegieron
publicado	publicaron
recuperado	recuperaron
regresado	regresaron
requerido	requirieron
resuelto	resolvieron
sacado	sacaron
salido	salieron
satisfecho	satisficieron
seleccionado	seleccionaron
soportado	soportaron
tenido	tuvieron
terminado	terminaron
tratado	trataron
unido	unieron
vendido	vendieron
votado	votaron
