alcanzado	alcanzaban
animado	animaban
aprobado	aprobaban
atraído	atraían
cantado	cantaban
celebrado	celebraban
conservado	conservaban
controlado	controlaban
corrido	corrían
creído	creían
cumplido	cumplían
definido	definían
dependido	dependían
discutido	discutían
establecido	establecían
explicado	explicaban
facilitado	facilitaban
fomentado	fomentaban
impedido	impedían
implicado	implicaban
incorporado	incorporaban
incrementado	incrementaban
indicado	indicaban
mejorado	mejoraban
mirado	miraban
muerto	morían
movido	movían
operado	operaban
parecido	parecían
permanecido	permanecían
permitido	permitían
podido	podían
puesto	ponían
proporcionado	proporcionaban
protegido	protegían
proveído,provisto	proveían
recibido	recibían
requerido	requerían
robado	robaban
sacado	sacaban
salido	salían
salvado	salvaban
soportado	soportaban
supervisado	supervisaban
tomado	tomaban
unido	unían
utilizado	utilizaban
verificado	verificaban
vivido	vivían
vuelto	volvían
