abrimos	abrirá
acordamos	acordará
alcanzamos	alcanzará
aseguramos	asegurará
averiguamos	averiguará
bebemos	beberá
cambiamos	cambiará
casamos	casará
compramos	comprará
conducimos	conducirá
conseguimos	conseguirá
consultamos	consultará
continuamos	continuará
decidimos	decidirá
detenemos	detendrá
dirigimos	dirigirá
estudiamos	estudiará
evadimos	evadirá
evaluamos	evaluará
examinamos	examinará
habilitamos	habilitará
incluimos	incluirá
incorporamos	incorporará
instalamos	instalará
integramos	integrará
limpiamos	limpiará
mantenemos	mantendrá
mejoramos	mejorará
obtenemos	obtendrá
organizamos	organizará
paramos	parará
parecemos	parecerá
participamos	participará
partimos	partirá
preguntamos	preguntará
promocionamos	promocionará
proporcionamos	proporcionará
proveemos	proveerá
regresamos	regresará
robamos	robará
salimos	saldrá
salvamos	salvará
servimos	servirá
soportamos	soportará
supervisamos	supervisará
terminamos	terminará
tomamos	tomará
vemos	verá
visitamos	visitará
votamos	votará
