abren	abría
acuerdan	acordaba
administran	administraba
adoptan	adoptaba
aparecen	aparecía
ayudan	ayudaba
bailan	bailaba
buscan	buscaba
caen	caía
comienzan	comenzaba
comprenden	comprendía
conducen	conducía
conocen	conocía
consiguen	conseguía
cuentan	contaba
contienen	contenía
corren	corría
dan	daba
definen	definía
designan	designaba
enseñan	enseñaba
entienden	entendía
evalúan	evaluaba
fallan	fallaba
forman	formaba
gestionan	gestionaba
han	había
involucran	involucraba
mantienen	mantenía
mejoran	mejoraba
miran	miraba
ocurren	ocurría
organizan	organizaba
piensan	pensaba
permiten	permitía
preservan	preservaba
publican	publicaba
realizan	realizaba
recogen	recogía
refuerzan	reforzaba
regresan	regresaba
requieren	requería
respetan	respetaba
revisan	revisaba
saben	sabía
sacan	sacaba
sientan	sentaba
supervisan	supervisaba
trabajan	trabajaba
tratan	trataba
