acuerdan	acordaban
actúan	actuaban
animan	animaban
asisten	asistían
atraen	atraían
averiguan	averiguaban
celebran	celebraban
cooperan	cooperaban
corren	corrían
cortan	cortaban
creen	creían
cubren	cubrían
cumplen	cumplían
demuestran	demostraban
desempeñan	desempeñaban
designan	designaban
destacan	destacaban
disfrutan	disfrutaban
entienden	entendían
escapan	escapaban
escriben	escribían
establecen	establecían
están	estaban
existen	existían
firman	firmaban
han	habían
hacen	hacían
imaginan	imaginaban
incrementan	incrementaban
invierten	invertían
juegan	jugaban
limitan	limitaban
luchan	luchaban
manejan	manejaban
miden	medían
obtienen	obtenían
ocurren	ocurrían
paran	paraban
participan	participaban
permanecen	permanecían
permiten	permitían
ponen	ponían
promocionan	promocionaban
refuerzan	reforzaban
respetan	respetaban
sientan	sentaban
supervisan	supervisaban
traen	traían
venden	vendían
vuelven	volvían
