alcanzáis	alcanzábamos
ampliáis	ampliábamos
animáis	animábamos
aseguráis	asegurábamos
atendéis	atendíamos
buscáis	buscábamos
cambiáis	cambiábamos
combatís	combatíamos
confiáis	confiábamos
convertís	convertíamos
coordináis	coordinábamos
corréis	corríamos
creéis	creíamos
cuidáis	cuidábamos
decidís	decidíamos
definís	definíamos
dejáis	dejábamos
dependéis	dependíamos
descargáis	descargábamos
desempeñáis	desempeñábamos
dormís	dormíamos
elimináis	eliminábamos
explicáis	explicábamos
ganáis	ganábamos
habilitáis	habilitábamos
hacéis	hacíamos
imagináis	imaginábamos
impedís	impedíamos
instaláis	instalábamos
integráis	integrábamos
limpiáis	limpiábamos
mejoráis	mejorábamos
ofrecéis	ofrecíamos
participáis	participábamos
permanecéis	permanecíamos
permitís	permitíamos
proporcionáis	proporcionábamos
referís	referíamos
representáis	representábamos
respetáis	respetábamos
respondéis	respondíamos
revisáis	revisábamos
sois	éramos
superáis	superábamos
termináis	terminábamos
utilizáis	utilizábamos
vendéis	vendíamos
vivís	vivíamos
voláis	volábamos
votáis	votábamos
