abrís	abría
aceptáis	aceptaba
actuáis	actuaba
anunciáis	anunciaba
aparecéis	aparecía
apoyáis	apoyaba
camináis	caminaba
causáis	causaba
celebráis	celebraba
combatís	combatía
conseguís	conseguía
conserváis	conservaba
crecéis	crecía
cubrís	cubría
designáis	designaba
dirigís	dirigía
ejecutáis	ejecutaba
empezáis	empezaba
entendéis	entendía
enviáis	enviaba
escucháis	escuchaba
evitáis	evitaba
generáis	generaba
iniciáis	iniciaba
intentáis	intentaba
vais	iba
leéis	leía
limpiáis	limpiaba
lloráis	lloraba
modificáis	modificaba
observáis	observaba
obtenéis	obtenía
ocurrís	ocurría
partís	partía
preserváis	preservaba
probáis	probaba
proponéis	proponía
proveéis	proveía
recuperáis	recuperaba
regresáis	regresaba
salís	salía
sentís	sentía
servís	servía
soportáis	soportaba
tenéis	tenía
tomáis	tomaba
tratáis	trataba
usáis	usaba
vendéis	vendía
vivís	vivía
