adquieres/adquirís	adquiría
alcanzas/alcanzás	alcanzaba
apoyas/apoyás	apoyaba
aprendes/aprendés	aprendía
asumes/asumís	asumía
causas/causás	causaba
compruebas/comprobás	comprobaba
confías/confiás	confiaba
consistes/consistís	consistía
cooperas/cooperás	cooperaba
creas/creás	creaba
demuestras/demostrás	demostraba
descargas/descargás	descargaba
descubres/descubrís	descubría
destruyes/destruís	destruía
eliges/elegís	elegía
enseñas/enseñás	enseñaba
escapas/escapás	escapaba
examinas/examinás	examinaba
explicas/explicás	explicaba
financias/financiás	financiaba
fortaleces/fortalecés	fortalecía
ganas/ganás	ganaba
garantizas/garantizás	garantizaba
imaginas/imaginás	imaginaba
inicias/iniciás	iniciaba
investigas/investigás	investigaba
involucras/involucrás	involucraba
llegas/llegás	llegaba
localizas/localizás	localizaba
logras/lográs	lograba
miras/mirás	miraba
ofreces/ofrecés	ofrecía
olvidas/olvidás	olvidaba
participas/participás	participaba
pasas/pasás	pasaba
preparas/preparás	preparaba
presentas/presentás	presentaba
provees/proveés	proveía
recuperas/recuperás	recuperaba
regresas/regresás	regresaba
requieres/requerís	requería
sacas/sacás	sacaba
sales/salís	salía
satisfaces/satisfacés	satisfacía
solicitas/solicitás	solicitaba
tienes/tenés	tenía
unes/unís	unía
utilizas/utilizás	utilizaba
verificas/verificás	verificaba
