adopta	adoptaremos
analiza	analizaremos
aparece	apareceremos
aplica	aplicaremos
apoya	apoyaremos
asume	asumiremos
atrae	atraeremos
cambia	cambiaremos
canta	cantaremos
cierra	cerraremos
combate	combatiremos
comprende	comprenderemos
concluye	concluiremos
conduce	conduciremos
contiene	contendremos
coordina	coordinaremos
crea	crearemos
crece	creceremos
demuestra	demostraremos
detiene	detendremos
elige	elegiremos
enfrenta	enfrentaremos
entiende	entenderemos
escribe	escribiremos
escucha	escucharemos
evalúa	evaluaremos
firma	firmaremos
implica	implicaremos
incluye	incluiremos
juega	jugaremos
limita	limitaremos
llama	llamaremos
maneja	manejaremos
mide	mediremos
modifica	modificaremos
obtiene	obtendremos
permanece	permaneceremos
permite	permitiremos
promociona	promocionaremos
protege	protegeremos
reemplaza	reemplazaremos
refuerza	reforzaremos
respeta	respetaremos
responde	responderemos
roba	robaremos
rompe	romperemos
sabe	sabremos
satisface	satisfaremos
sufre	sufriremos
vota	votaremos
