administra	administrarán
amplía	ampliarán
busca	buscarán
canta	cantarán
celebra	celebrarán
comparte	compartirán
completa	completarán
comprueba	comprobarán
considera	considerarán
consulta	consultarán
contribuye	contribuirán
corta	cortarán
cree	creerán
cuida	cuidarán
defiende	defenderán
deja	dejarán
descarga	descargarán
elabora	elaborarán
empieza	empezarán
enfrenta	enfrentarán
enseña	enseñarán
entiende	entenderán
evade	evadirán
evita	evitarán
examina	examinarán
expresa	expresarán
gestiona	gestionarán
guarda	guardarán
informa	informarán
introduce	introducirán
limita	limitarán
llega	llegarán
lleva	llevarán
menciona	mencionarán
mueve	moverán
ofrece	ofrecerán
participa	participarán
piensa	pensarán
pregunta	preguntarán
provee	proveerán
reconoce	reconocerán
reemplaza	reemplazarán
representa	representarán
salva	salvarán
sigue	seguirán
selecciona	seleccionarán
es	serán
sirve	servirán
suma	sumarán
utiliza	utilizarán
