agradece	agradecía
alienta	alentaba
analiza	analizaba
aparece	aparecía
aplica	aplicaba
aprende	aprendía
asiste	asistía
avanza	avanzaba
cae	caía
cambia	cambiaba
camina	caminaba
concluye	concluía
conduce	conducía
coordina	coordinaba
cumple	cumplía
defiende	defendía
depende	dependía
describe	describía
desempeña	desempeñaba
destaca	destacaba
discute	discutía
ejerce	ejercía
elabora	elaboraba
elige	elegía
elimina	eliminaba
empieza	empezaba
entra	entraba
envía	enviaba
escapa	escapaba
establece	establecía
formula	formulaba
impide	impedía
instala	instalaba
llama	llamaba
llega	llegaba
mide	medía
mejora	mejoraba
opera	operaba
promociona	promocionaba
realiza	realizaba
refuerza	reforzaba
regresa	regresaba
requiere	requería
satisface	satisfacía
sugiere	sugería
supera	superaba
supervisa	supervisaba
toca	tocaba
ve	veía
vuelve	volvía
