abandonan	abandonaremos
acceden	accederemos
administran	administraremos
apoyan	apoyaremos
aprueban	aprobaremos
asisten	asistiremos
cambian	cambiaremos
comparten	compartiremos
comprueban	comprobaremos
confían	confiaremos
consiguen	conseguiremos
conservan	conservaremos
consolidan	consolidaremos
corren	correremos
cubren	cubriremos
deciden	decidiremos
defienden	defenderemos
descargan	descargaremos
destruyen	destruiremos
empiezan	empezaremos
entran	entraremos
esperan	esperaremos
están	estaremos
existen	existiremos
garantizan	garantizaremos
hablan	hablaremos
hacen	haremos
imaginan	imaginaremos
incrementan	incrementaremos
invierten	invertiremos
juegan	jugaremos
llaman	llamaremos
miran	miraremos
muestran	mostraremos
operan	operaremos
oyen	oiremos
pasan	pasaremos
permanecen	permaneceremos
preparan	prepararemos
prestan	prestaremos
producen	produciremos
promueven	promoveremos
quedan	quedaremos
reconocen	reconoceremos
recuperan	recuperaremos
sirven	serviremos
supervisan	supervisaremos
unen	uniremos
utilizan	utilizaremos
visitan	visitaremos
