agradecen	agradecerá
anuncian	anunciará
aprenden	aprenderá
ayudan	ayudará
cambian	cambiará
cierran	cerrará
confían	confiará
coordinan	coordinará
cortan	cortará
dan	dará
deciden	decidirá
definen	definirá
destruyen	destruirá
ejecutan	ejecutará
eliminan	eliminará
escriben	escribirá
esperan	esperará
establecen	establecerá
facilitan	facilitará
forman	formará
generan	generará
implican	implicará
informan	informará
introducen	introducirá
investigan	investigará
juegan	jugará
limitan	limitará
limpian	limpiará
localizan	localizará
matan	matará
mejoran	mejorará
mencionan	mencionará
modifican	modificará
mueven	moverá
ofrecen	ofrecerá
oyen	oirá
parten	partirá
piden	pedirá
permanecen	permanecerá
presentan	presentará
promueven	promoverá
proporcionan	proporcionará
representan	representará
respetan	respetará
sacan	sacará
sobreviven	sobrevivirá
usan	usará
venden	venderá
ven	verá
viajan	viajará
