aborda	abordaré
abre	abriré
acepta	aceptaré
administra	administraré
adopta	adoptaré
anuncia	anunciaré
aparece	apareceré
aprende	aprenderé
asegura	aseguraré
atiende	atenderé
baila	bailaré
causa	causaré
celebra	celebraré
completa	completaré
construye	construiré
consulta	consultaré
continúa	continuaré
cumple	cumpliré
deja	dejaré
designa	designaré
dirige	dirigiré
enfrenta	enfrentaré
entiende	entenderé
falla	fallaré
implica	implicaré
incorpora	incorporaré
indica	indicaré
informa	informaré
va	iré
limpia	limpiaré
lleva	llevaré
ocurre	ocurriré
ofrece	ofreceré
opera	operaré
parte	partiré
pide	pediré
piensa	pensaré
pierde	perderé
puede	podré
recupera	recuperaré
representa	representaré
roba	robaré
saca	sacaré
sirve	serviré
sobrevive	sobreviviré
supera	superaré
toca	tocaré
toma	tomaré
ve	veré
vive	viviré
