abandona	abandoné
aborda	abordé
alienta	alenté
anuncia	anuncié
avanza	avancé
cae	caí
cambia	cambié
canta	canté
comienza	comencé
convierte	convertí
coopera	cooperé
cree	creí
cuida	cuidé
depende	dependí
describe	describí
designa	designé
discute	discutí
duerme	dormí
enseña	enseñé
escribe	escribí
funciona	funcioné
gana	gané
garantiza	garanticé
gasta	gasté
guarda	guardé
incorpora	incorporé
instala	instalé
juega	jugué
llega	llegué
maneja	manejé
mantiene	mantuve
mata	maté
mejora	mejoré
modifica	modifiqué
obtiene	obtuve
puede	pude
prepara	preparé
proporciona	proporcioné
publica	publiqué
reconoce	reconocí
relaciona	relacioné
representa	representé
requiere	requerí
resuelve	resolví
revisa	revisé
rompe	rompí
sabe	supe
saca	saqué
sirve	serví
toca	toqué
