abandona	abandonabais
aborda	abordabais
abre	abríais
acuerda	acordabais
adopta	adoptabais
agradece	agradecíais
anima	animabais
anuncia	anunciabais
asume	asumíais
conoce	conocíais
conserva	conservabais
construye	construíais
cuenta	contabais
convierte	convertíais
decide	decidíais
demuestra	demostrabais
depende	dependíais
desarrolla	desarrollabais
describe	describíais
elige	elegíais
escribe	escribíais
estudia	estudiabais
imagina	imaginabais
impide	impedíais
implica	implicabais
incluye	incluíais
instala	instalabais
involucra	involucrabais
llega	llegabais
mejora	mejorabais
menciona	mencionabais
modifica	modificabais
muere	moríais
necesita	necesitabais
obtiene	obteníais
ocurre	ocurríais
organiza	organizabais
para	parabais
parte	partíais
piensa	pensabais
prueba	probabais
propone	proponíais
queda	quedabais
realiza	realizabais
roba	robabais
satisface	satisfacíais
señala	señalabais
sufre	sufríais
viene	veníais
ve	veíais
