acordamos	acordaron
agradecimos	agradecieron
analizamos	analizaron
aumentamos	aumentaron
caminamos	caminaron
combatimos	combatieron
construimos	construyeron
cooperamos	cooperaron
coordinamos	coordinaron
cortamos	cortaron
cumplimos	cumplieron
dejamos	dejaron
describimos	describieron
designamos	designaron
ejecutamos	ejecutaron
estudiamos	estudiaron
financiamos	financiaron
fortalecimos	fortalecieron
hubimos	hubieron
hicimos	hicieron
incluimos	incluyeron
iniciamos	iniciaron
integramos	integraron
intentamos	intentaron
invertimos	invirtieron
fuimos	fueron
jugamos	jugaron
limpiamos	limpiaron
llevamos	llevaron
matamos	mataron
movimos	movieron
oímos	oyeron
partimos	partieron
previnimos	previnieron
protegimos	protegieron
recogimos	recogieron
reforzamos	reforzaron
regresamos	regresaron
respondimos	respondieron
robamos	robaron
sacamos	sacaron
fuimos	fueron
señalamos	señalaron
soportamos	soportaron
sugerimos	sugirieron
tuvimos	tuvieron
tomamos	tomaron
unimos	unieron
vinimos	vinieron
visitamos	visitaron
