accedieron	accederemos
aceleraron	aceleraremos
animaron	animaremos
aparecieron	apareceremos
aprobaron	aprobaremos
combatieron	combatiremos
comenzaron	comenzaremos
compraron	compraremos
conocieron	conoceremos
consultaron	consultaremos
contaron	contaremos
cubrieron	cubriremos
describieron	describiremos
desempeñaron	desempeñaremos
designaron	designaremos
dirigieron	dirigiremos
eligieron	elegiremos
estuvieron	estaremos
existieron	existiremos
exploraron	exploraremos
facilitaron	facilitaremos
financiaron	financiaremos
imaginaron	imaginaremos
instalaron	instalaremos
llamaron	llamaremos
mantuvieron	mantendremos
necesitaron	necesitaremos
obtuvieron	obtendremos
ocurrieron	ocurriremos
pararon	pararemos
pensaron	pensaremos
pusieron	pondremos
presentaron	presentaremos
probaron	probaremos
proveyeron	proveeremos
realizaron	realizaremos
recogieron	recogeremos
redujeron	reduciremos
respetaron	respetaremos
robaron	robaremos
rompieron	romperemos
salieron	saldremos
sentaron	sentaremos
sirvieron	serviremos
tomaron	tomaremos
trajeron	traeremos
vieron	veremos
vivieron	viviremos
volaron	volaremos
volvieron	volveremos
