abordaron	abordaremos
acordaron	acordaremos
adquirieron	adquiriremos
alcanzaron	alcanzaremos
asumieron	asumiremos
bebieron	beberemos
comieron	comeremos
compartieron	compartiremos
condujeron	conduciremos
confiaron	confiaremos
consiguieron	conseguiremos
conservaron	conservaremos
consistieron	consistiremos
controlaron	controlaremos
convirtieron	convertiremos
cortaron	cortaremos
crearon	crearemos
dieron	daremos
definieron	definiremos
descubrieron	descubriremos
destruyeron	destruiremos
determinaron	determinaremos
disfrutaron	disfrutaremos
eliminaron	eliminaremos
empezaron	empezaremos
estudiaron	estudiaremos
evitaron	evitaremos
fomentaron	fomentaremos
hablaron	hablaremos
impidieron	impediremos
integraron	integraremos
intentaron	intentaremos
jugaron	jugaremos
midieron	mediremos
mejoraron	mejoraremos
miraron	miraremos
movieron	moveremos
observaron	observaremos
permitieron	permitiremos
presentaron	presentaremos
previnieron	prevendremos
produjeron	produciremos
propusieron	propondremos
relacionaron	relacionaremos
sacaron	sacaremos
salvaron	salvaremos
seleccionaron	seleccionaremos
sirvieron	serviremos
sobrevivieron	sobreviviremos
unieron	uniremos
